decade, style1, style2, style3
1910, Cubism, Suprematism, Expressionism
1920, Art Deco, Constructivism #1, Constructivism #2
1930, Surrealism #1, Surrealism #2, Surrealism #3
1940, Abstract Expressionism #1, Abstract Expressionism #2, Abstract Expressionism #3
1950, Op Art #1, Op Art #2, Op Art #3
1960, Pop Art #1, Pop Art #2, Pop Art #3
1970, Minimalism #1, Minimalism #2, Minimalism #3
1980, Neo-Expressionism #1, Neo-Expressionism #2, Neo-Expressionism #3
1990, Lyrical Abstraction, Street Art, Digital Art
2000, Stuckism #1, Stuckism #2, Contemporary Impressionism

